"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Title","Group"
"1",2,"female",29,1,0,13,"NO","S","Mrs",2
"0",2,"male",25,0,0,13,"NO","S","Mr",1
"0",2,"male",23,0,0,15.0458,"NO","C","Mr",1
"1",1,"female",19,0,2,26.2833,"D","S","Miss",1
"0",1,"male",37,1,0,26.55,"C","S","Mr",2
"0",3,"male",16,0,0,4.60835,"NO","S","Mr",2
"0",1,"male",24,0,0,39.6,"B","C","Mr",2
"0",3,"female",40.5,0,2,5.08193333333333,"NO","C","Mrs",3
"1",3,"female",22,0,0,7.75,"NO","S","Miss",1
"1",3,"female",24,1,0,7.925,"NO","S","Mrs",2
"0",3,"male",19,0,0,6.75,"NO","Q","Mr",1
"0",2,"male",18,0,0,11.5,"NO","S","Mr",1
"0",2,"male",19,1,1,9.1875,"NO","S","Mr",4
"1",3,"male",27,0,0,7.7958,"NO","S","Mr",1
"0",3,"female",9,2,2,6.875,"NO","S","Miss",5
"0",2,"male",36.5,0,2,8.66666666666667,"X","S","Mr",3
"0",2,"male",42,0,0,13,"NO","S","other",1
"0",2,"male",51,0,0,12.525,"NO","S","other",1
"1",1,"female",22,1,0,33.3,"C","S","Mrs",2
"0",3,"male",55.5,0,0,8.05,"NO","S","Mr",1
"0",3,"male",40.5,0,2,4.83333333333333,"NO","S","Mr",3
"0",3,"male",22,0,0,7.3125,"NO","S","Mr",1
"0",1,"male",51,0,1,30.6896,"NO","C","Mr",2
"1",3,"female",16,0,0,7.7333,"NO","Q","Miss",1
"0",3,"male",30,0,0,8.05,"NO","S","Mr",1
"0",3,"male",33,0,0,8.6625,"NO","S","Mr",1
"0",3,"male",11,8,2,6.32272727272727,"NO","S","Master",11
"0",3,"male",44,0,1,8.05,"NO","S","Mr",2
"1",2,"female",40,0,0,7.875,"NO","S","Mrs",2
"0",3,"male",26,0,0,7.775,"NO","S","Mr",1
"0",3,"male",17,0,0,8.6625,"NO","S","Mr",1
"0",3,"male",1,4,1,5.66964285714286,"NO","S","Master",7
"1",3,"male",9,0,2,6.84166666666667,"NO","S","Master",3
"1",1,"female",22,0,1,27.5,"E","S","Mrs",2
"0",3,"female",45,1,4,4.65,"NO","S","Mrs",6
"0",1,"male",62,0,0,25.925,"NO","S","Mr",1
"0",3,"male",28,0,0,7.061975,"NO","S","Mr",8
"0",1,"male",61,0,0,33.5,"B","S","Mr",1
"0",3,"male",4,4,1,4.85416666666667,"NO","Q","Master",6
"1",3,"female",1,1,1,3.7111,"NO","S","Miss",3
"0",3,"male",21,0,0,7.925,"NO","S","Mr",1
"0",1,"male",56,0,0,30.6958,"X","C","Mr",1
"0",3,"male",18,1,1,7.8542,"NO","S","Mr",1
"0",3,"male",3,3,1,5.09334,"NO","S","Master",5
"0",1,"female",50,0,0,28.7125,"C","C","Miss",1
"0",2,"male",30,0,0,13,"NO","S","Mr",1
"0",3,"male",36,0,0,0,"NO","S","Mr",4
"0",3,"female",11,8,2,6.32272727272727,"NO","S","Miss",11
"0",2,"male",47,0,0,15.05,"NO","C","Mr",1
"0",3,"male",9,4,2,4.48392857142857,"NO","S","Master",7
"1",2,"male",1,2,1,9.75,"X","S","Master",4
"1",3,"female",4,0,2,7.34166666666667,"NO","S","Miss",3
"0",1,"male",54,0,0,50,"X","S","Mr",1
"1",3,"female",24,1,0,7.75,"NO","Q","Mrs",2
"1",1,"male",45,0,0,26.55,"NO","S","Mr",1
"0",3,"male",40,1,1,7.75,"NO","Q","Mr",2
"0",3,"male",36,0,0,7.8958,"NO","S","Mr",1
"1",2,"female",32,0,0,13,"NO","S","Mrs",1
"0",2,"male",19,0,0,13,"NO","S","Mr",1
"1",3,"female",19,1,0,7.8542,"NO","S","Miss",1
"1",2,"male",3,1,1,8.66666666666667,"X","S","Master",3
"1",1,"female",44,0,0,27.7208,"B","C","Mrs",1
"1",1,"female",58,0,0,48.8402666666667,"B","C","Miss",3
"0",3,"male",65,0,0,7.75,"NO","Q","Mr",1
"0",3,"male",42,0,1,8.4042,"NO","S","Mr",1
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"0",2,"female",24,0,0,13,"NO","S","Miss",1
"0",3,"male",28,0,0,9.5,"NO","S","Mr",1
"0",3,"male",11,8,2,6.32272727272727,"NO","S","Mr",11
"0",3,"male",34,0,0,6.4958,"NO","S","Mr",1
"0",3,"male",45.5,0,0,7.225,"NO","C","Mr",1
"1",3,"male",18,0,0,8.05,"NO","S","Mr",1
"0",3,"female",2,0,1,5.23125,"X","S","Miss",2
"0",3,"male",32,1,0,7.925,"NO","S","Mr",2
"1",3,"male",26,0,0,9.39375,"NO","C","Mr",2
"1",3,"female",16,0,0,7.75,"NO","Q","Miss",1
"1",1,"male",40,0,0,31,"X","C","Mr",1
"0",3,"male",24,0,0,7.05,"NO","S","Mr",1
"1",2,"female",35,0,0,10.5,"NO","S","Miss",2
"0",3,"male",22,0,0,7.25,"NO","S","Mr",1
"0",2,"male",30,0,0,13,"NO","S","Mr",1
"0",3,"male",25,1,0,7.75,"NO","Q","Mr",1
"1",1,"female",31,1,0,37.7583333333333,"D","C","Miss",3
"1",3,"female",27,0,0,7.925,"NO","S","Miss",1
"0",2,"male",42,1,0,13.5,"NO","S","Mr",2
"1",1,"female",32,0,0,38.14585,"D","C","Miss",2
"0",2,"male",30,0,0,10.5,"NO","S","Mr",1
"1",3,"male",16,0,0,8.05,"NO","S","Mr",1
"0",2,"male",27,0,0,13,"NO","S","Mr",1
"0",3,"male",51,0,0,8.05,"NO","S","Mr",1
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"1",1,"male",38,1,0,45,"C","S","Mr",2
"0",3,"male",22,0,0,9.35,"NO","S","Mr",1
"1",2,"male",19,0,0,10.5,"NO","S","Mr",1
"0",3,"male",20.5,0,0,7.25,"NO","S","Mr",1
"0",2,"male",18,0,0,13,"NO","S","Mr",1
"0",3,"female",3,3,1,5.09334,"NO","S","Miss",5
"1",1,"female",35,1,0,41.7375,"C","S","Mrs",2
"0",3,"male",29,0,0,7.775,"NO","S","Mr",1
"0",2,"male",59,0,0,13.5,"NO","S","Mr",1
"1",3,"female",5,4,2,4.48392857142857,"NO","S","Miss",7
"0",2,"male",24,0,0,10.5,"NO","S","Mr",1
"0",3,"female",23,0,0,7.55,"NO","S","Miss",1
"0",2,"male",44,1,0,13,"NO","S","Mr",2
"1",2,"female",8,0,2,8.75,"NO","S","Miss",3
"0",2,"male",19,0,0,10.5,"NO","S","Mr",1
"0",2,"male",33,0,0,12.275,"NO","S","Mr",1
"0",3,"female",26,1,0,7.2271,"NO","C","Miss",2
"1",3,"female",24,1,0,7.75,"NO","Q","Miss",2
"0",2,"male",29,0,0,10.5,"NO","S","Mr",1
"0",3,"male",22,0,0,7.125,"NO","S","Mr",1
"0",3,"male",30,0,0,7.225,"NO","C","Mr",1
"0",1,"male",44,2,0,30,"C","Q","other",3
"0",3,"female",25,0,0,7.775,"NO","S","Miss",1
"1",2,"female",24,0,2,7.25,"NO","S","Mrs",2
"1",1,"male",37,1,1,26.2771,"D","S","Mr",2
"0",2,"male",54,1,0,13,"NO","S","other",2
"0",3,"male",22,0,0,7.25,"NO","S","Mr",1
"0",3,"female",29,1,1,5.23125,"X","S","Mrs",2
"0",1,"male",62,0,0,26.55,"C","S","Mr",1
"0",3,"male",30,1,0,8.05,"NO","S","Mr",2
"0",3,"female",41,0,2,6.7375,"NO","S","Mrs",3
"1",3,"female",29,0,2,5.08193333333333,"NO","C","Mrs",3
"1",1,"female",26,0,0,39.6,"NO","C","Mrs",2
"1",1,"female",30,0,0,28.8333333333333,"B","S","Miss",3
"1",1,"female",35,0,0,128.0823,"NO","C","Miss",4
"1",2,"female",50,0,1,13,"NO","S","Mrs",2
"0",3,"male",65,0,0,7.75,"NO","Q","Mr",1
"1",3,"male",3,4,2,4.48392857142857,"NO","S","Master",7
"0",1,"male",52,1,1,26.55,"E","S","Mr",3
"0",1,"male",40,0,0,0,"B","S","Mr",1
"0",3,"female",65,0,0,7.75,"NO","Q","Miss",1
"0",2,"male",36,0,0,10.5,"NO","S","Mr",1
"0",3,"male",16,4,1,5.66964285714286,"NO","S","Mr",7
"1",3,"male",25,1,0,7.775,"NO","S","Mr",1
"1",1,"female",58,0,1,51.1541666666667,"C","S","Mrs",3
"1",1,"female",35,0,0,33.908325,"C","S","Miss",4
"0",1,"male",40,0,0,15.5,"NO","S","Mr",2
"1",3,"male",25,0,0,0,"NO","S","Mr",4
"1",2,"female",41,0,1,9.75,"NO","S","Mrs",2
"0",1,"male",37,0,1,29.7,"C","C","Mr",1
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"1",1,"female",63,1,0,25.9861,"D","S","Miss",3
"0",3,"female",45,0,0,7.75,"NO","S","Miss",1
"0",2,"male",32,0,0,0,"NO","S","Mr",3
"0",3,"male",7,4,1,4.85416666666667,"NO","Q","Master",6
"1",3,"female",35,1,1,6.75,"NO","S","Mrs",3
"0",3,"male",65,0,0,7.75,"NO","Q","Mr",1
"0",3,"male",28,0,0,7.8542,"NO","S","Mr",1
"0",3,"male",16,0,0,9.5,"NO","S","Mr",1
"1",3,"male",19,0,0,8.05,"NO","S","Mr",1
"0",1,"male",62,0,0,26,"X","S","Mr",1
"0",3,"male",33,0,0,8.6625,"NO","C","Mr",1
"1",3,"male",30,0,0,9.5,"NO","S","Mr",1
"0",3,"male",22,0,0,7.8958,"NO","S","Mr",1
"1",2,"male",42,0,0,13,"NO","S","Mr",1
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"1",1,"female",26,0,0,26.2833333333333,"NO","S","Miss",3
"1",1,"female",19,1,0,45.5396,"B","C","Mrs",2
"0",2,"male",36,0,0,12.875,"D","C","Mr",1
"0",3,"female",24,0,0,8.85,"NO","S","Miss",1
"0",3,"male",24,0,0,7.8958,"NO","S","Mr",1
"0",1,"male",40,0,0,27.7208,"NO","C","Mr",1
"0",3,"male",23.5,0,0,7.2292,"NO","C","Mr",1
"0",1,"female",2,1,2,25.2583333333333,"C","S","Miss",6
"1",1,"male",32,0,0,30.5,"C","S","Mr",1
"1",1,"female",50,0,1,82.5069333333333,"B","C","Mrs",3
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"1",3,"male",18,2,0,7.75,"NO","Q","Mr",3
"0",3,"male",19,0,0,0,"NO","S","Mr",4
"1",2,"female",30,0,0,12.35,"E","Q","Miss",1
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"1",1,"male",0.92,1,2,25.2583333333333,"C","S","Master",6
"1",1,"female",30,0,0,27.720825,"NO","C","Miss",4
"1",1,"female",17,1,0,36.3,"C","C","Mrs",3
"0",2,"male",30,1,0,12,"NO","C","Mr",2
"1",1,"female",30,0,0,28.4646,"E","C","Miss",2
"1",1,"female",24,0,0,27.7194333333333,"C","C","Miss",3
"1",1,"female",18,2,2,37.4821428571429,"B","C","Miss",7
"0",2,"female",26,1,1,13,"NO","S","Mrs",2
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",2,"male",43,1,1,8.75,"NO","S","Mr",3
"1",3,"female",26,0,0,7.8542,"NO","S","Miss",1
"1",2,"female",24,1,0,13,"NO","S","Mrs",2
"0",2,"male",54,0,0,14,"NO","S","other",1
"1",1,"female",31,0,2,41.216675,"C","S","Miss",4
"1",1,"female",40,1,1,26.9,"E","C","Mrs",5
"0",3,"male",22,0,0,7.25,"NO","S","Mr",1
"0",3,"male",27,0,0,7.8958,"NO","S","Mr",1
"1",2,"female",30,0,0,12.35,"NO","Q","Miss",1
"1",2,"female",22,1,1,9.66666666666667,"NO","S","Mrs",3
"0",3,"male",11,8,2,6.32272727272727,"NO","S","Mr",11
"1",1,"female",36,0,0,33.908325,"C","C","Miss",4
"0",3,"male",61,0,0,6.2375,"NO","S","Mr",1
"1",2,"female",36,0,0,13,"D","S","Mrs",1
"1",3,"female",31,1,1,6.84166666666667,"NO","S","Mrs",3
"1",1,"female",16,0,1,28.9896,"B","C","Miss",2
"1",3,"female",18,2,0,7.75,"NO","Q","Miss",3
"0",1,"male",45.5,0,0,28.5,"C","S","Mr",1
"0",1,"male",38,0,1,51.1541666666667,"C","S","Mr",3
"0",3,"male",16,2,0,9,"NO","S","Mr",2
"1",1,"female",23,1,0,66.825,"NO","S","Mrs",2
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",1,"male",29,1,0,33.3,"C","S","Mr",2
"1",1,"female",41,0,0,26.9,"E","C","Miss",5
"1",3,"male",45,0,0,8.05,"NO","S","Mr",1
"0",1,"male",45,0,0,35.5,"X","S","Mr",1
"1",2,"male",2,1,1,8.66666666666667,"X","S","Master",3
"1",1,"female",24,3,2,43.8333333333333,"C","S","Miss",6
"0",2,"male",28,0,0,13,"NO","S","Mr",1
"0",2,"male",25,0,0,13,"NO","S","Mr",1
"0",2,"male",36,0,0,13,"NO","S","Mr",1
"1",2,"female",24,0,0,13,"X","S","Miss",1
"1",2,"female",40,0,0,13,"NO","S","Miss",1
"1",3,"female",26,1,0,8.05,"NO","S","Mrs",2
"1",3,"male",3,1,1,5.3,"NO","S","Master",3
"0",3,"male",42,0,0,8.6625,"NO","S","Mr",1
"0",3,"male",23,0,0,9.225,"NO","S","Mr",1
"0",1,"male",47,0,0,35,"C","S","Mr",1
"0",3,"male",15,1,1,7.2292,"NO","C","Mr",1
"0",3,"male",25,1,0,8.9,"NO","S","Mr",2
"0",3,"male",40,0,0,7.225,"NO","C","Mr",1
"0",3,"male",28,0,0,9.5,"NO","S","Mr",1
"1",1,"female",22,0,1,27.5,"E","S","Miss",2
"0",2,"female",38,0,0,13,"NO","S","Miss",1
"1",3,"female",26,0,0,7.8792,"NO","Q","Miss",1
"1",3,"female",26,0,0,7.8792,"NO","Q","Miss",1
"0",3,"male",40,1,4,4.65,"NO","S","Mr",6
"0",2,"male",29,1,0,13.8604,"NO","C","Mr",2
"0",3,"female",45,0,1,7.2271,"NO","C","Mrs",2
"0",3,"male",35,0,0,7.05,"NO","S","Mr",1
"0",3,"male",32,1,0,7.75,"NO","Q","Mr",2
"0",3,"male",30,0,0,7.25,"NO","S","Mr",1
"1",1,"female",60,1,0,37.625,"D","C","Mrs",2
"1",3,"female",20,0,0,7.2292,"NO","C","Mrs",1
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"1",1,"female",24,0,0,34.65,"B","C","other",2
"1",1,"male",25,1,0,27.72085,"E","C","Mr",2
"0",3,"male",18,1,0,6.4958,"NO","S","Mr",1
"0",3,"male",19,0,0,8.05,"NO","S","Mr",1
"0",1,"male",22,0,0,33.908325,"NO","C","Mr",4
"0",3,"female",3,3,1,4.215,"NO","S","Miss",5
"1",1,"female",35,1,0,41.0854,"NO","C","Mrs",2
"1",3,"female",22,0,0,7.25,"NO","S","Miss",1
"0",1,"male",27,0,2,42.3,"C","C","Mr",5
"0",3,"male",20,0,0,4.0125,"NO","C","Mr",1
"0",3,"male",19,0,0,7.775,"NO","S","Mr",1
"1",1,"female",42,0,0,45.505,"NO","C","Miss",5
"1",3,"female",1,0,2,5.24723333333333,"NO","C","Miss",3
"0",3,"male",32,0,0,7.925,"NO","S","Mr",1
"1",1,"female",35,1,0,26,"NO","S","Mrs",2
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",2,"male",18,0,0,10.5,"NO","S","Mr",7
"0",3,"male",1,5,2,5.8625,"NO","S","Master",8
"1",2,"female",36,0,0,13,"NO","S","Miss",1
"0",3,"male",25,0,0,7.7292,"NO","Q","Mr",1
"1",2,"female",17,0,0,12,"NO","C","Miss",1
"1",1,"male",36,1,2,30,"B","S","Mr",4
"1",3,"male",21,0,0,7.7958,"NO","S","Mr",1
"0",3,"male",28,2,0,7.925,"NO","S","Mr",1
"1",1,"female",23,1,0,37.7583333333333,"D","C","Miss",3
"1",3,"female",24,0,2,5.56666666666667,"X","S","Mrs",3
"0",3,"male",22,0,0,7.7958,"NO","S","Mr",1
"0",3,"female",31,0,0,7.8542,"NO","S","Miss",1
"0",2,"male",46,0,0,13,"NO","S","Mr",2
"0",2,"male",23,0,0,10.5,"NO","S","other",1
"1",2,"female",28,0,0,12.65,"NO","S","Mrs",1
"1",3,"male",39,0,0,7.925,"NO","S","Mr",1
"0",3,"male",26,0,0,8.05,"NO","S","Mr",1
"0",3,"female",21,1,0,9.825,"NO","S","Miss",1
"0",3,"male",28,1,0,7.925,"NO","S","Mr",2
"0",3,"female",20,0,0,8.6625,"NO","S","Miss",1
"0",2,"male",34,1,0,10.5,"NO","S","Mr",2
"0",3,"male",51,0,0,7.75,"NO","S","Mr",1
"1",2,"male",3,1,1,6.25,"NO","S","Master",3
"0",3,"male",21,0,0,7.775,"NO","S","Mr",1
"0",3,"female",3,3,1,5.09334,"NO","S","Miss",5
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",3,"male",19,0,0,6.8583,"NO","Q","Mr",1
"1",1,"female",33,1,0,30,"C","Q","Miss",3
"0",2,"male",32,0,0,0,"NO","S","Mr",3
"1",3,"male",44,0,0,7.925,"NO","S","Mr",1
"0",3,"female",21,0,0,8.05,"NO","S","Mrs",1
"1",2,"female",34,1,1,10.8333333333333,"NO","S","Mrs",3
"1",2,"female",18,0,2,13,"NO","S","Miss",1
"0",2,"male",30,0,0,13,"NO","S","Mr",1
"0",3,"female",10,0,2,8.05,"NO","S","Miss",3
"0",3,"male",28,0,0,7.8958,"NO","C","Mr",1
"0",3,"male",21,0,0,7.7333,"NO","Q","Mr",1
"0",3,"male",29,0,0,7.875,"NO","S","Mr",1
"0",3,"female",28,1,1,4.8,"NO","S","Mrs",3
"0",3,"male",18,1,1,6.7375,"NO","S","Mr",3
"0",3,"male",22,0,0,7.25,"NO","S","Mr",1
"1",2,"female",28,1,0,13,"NO","S","Mrs",2
"1",2,"female",19,0,0,13,"NO","S","Miss",2
"0",3,"male",65,0,0,7.75,"NO","Q","Mr",1
"1",3,"male",32,0,0,8.05,"E","S","Mr",1
"1",1,"male",28,0,0,26.55,"C","S","Mr",1
"1",3,"female",26,1,0,8.05,"NO","S","Mrs",2
"1",2,"female",42,1,0,13,"NO","S","Mrs",2
"0",3,"male",17,0,0,7.125,"NO","S","Mr",1
"0",1,"male",50,1,0,27.95,"E","S","Mr",2
"1",1,"female",14,1,2,30,"B","S","Miss",4
"0",3,"female",21,2,2,6.875,"NO","S","Miss",5
"1",2,"female",24,2,3,6.25,"NO","S","Mrs",3
"0",1,"male",64,1,4,43.8333333333333,"C","S","Mr",6
"0",2,"male",31,0,0,10.5,"NO","S","Mr",1
"1",2,"female",45,1,1,8.75,"NO","S","Mrs",3
"0",3,"male",20,0,0,9.5,"NO","S","Mr",1
"0",3,"male",25,1,0,7.775,"NO","S","Mr",1
"1",2,"female",28,0,0,13,"NO","S","other",1
"1",3,"male",18,0,0,8.1125,"NO","S","Mr",1
"1",1,"male",4,0,2,27.2861,"X","S","Master",3
"1",2,"female",13,0,1,9.75,"NO","S","Miss",2
"1",1,"male",34,0,0,26.55,"NO","S","Mr",1
"1",3,"female",5,2,1,4.814575,"NO","C","Miss",4
"1",1,"male",52,0,0,30.5,"C","S","other",1
"0",2,"male",36,1,2,6.9375,"NO","S","Mr",4
"0",3,"male",25,1,0,19.9667,"NO","S","Mr",1
"0",1,"male",30,0,0,27.75,"C","C","Mr",1
"1",1,"male",49,1,0,44.5521,"C","C","Mr",2
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"1",3,"male",29,0,0,7.8958,"NO","C","Mr",1
