CLASS,AGE,SEX,SURVIVED
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Sobreviu
1a,Adult,Dona,Mor
1a,Adult,Dona,Mor
1a,Adult,Dona,Mor
1a,Adult,Dona,Mor
1a,Nen,Home,Sobreviu
1a,Nen,Home,Sobreviu
1a,Nen,Home,Sobreviu
1a,Nen,Home,Sobreviu
1a,Nen,Home,Sobreviu
1a,Nen,Dona,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Sobreviu
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Home,Mor
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Sobreviu
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Adult,Dona,Mor
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Home,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
2a,Nen,Dona,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Sobreviu
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
